,Diag: ADHD-Inattentive Type,Diag: Social Anxiety (Social Phobia),Diag: Enuresis,Diag: Generalized Anxiety Disorder,Diag: No Diagnosis Given,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Specific Phobia,Diag: Autism Spectrum Disorder,Diag: Oppositional Defiant Disorder,Diag: Language Disorder,Diag: ADHD-Combined Type,Diag: Specific Learning Disorder with Impairment in Mathematics
67,"[0.8010149074246854, 0.7645, 0.6738]","[0.8620685714285714, 0.8799, 0.6914]","[0.8710019449997299, 0.8553, 0.8475]","[0.8789091541832103, 0.8441, 0.7247]","[0.7868874601545195, 0.6385, 0.7859]","[0.7100283467571582, 0.6021, 0.6844]","[0.7624698409572112, 0.7499, 0.6478]","[0.9005107999937707, 0.7834, 0.8716]","[0.8670340323485892, 0.8014, 0.7662]","[0.7899935543438495, 0.7956, 0.6527]","[0.8629032258064516, 0.8674, 0.7098]","[0.762888182843087, 0.6818, 0.7035]"
68,"[0.8010149074246854, 0.7645, 0.6738]","[0.8617371428571429, 0.8799, 0.704]","[0.8710019449997299, 0.8553, 0.8475]","[0.878830061534081, 0.8636, 0.715]","[0.7869820087524988, 0.6385, 0.7836]","[0.7123110784033144, 0.6075, 0.6857]","[0.7631591905066719, 0.7499, 0.6365]","[0.9002772024356439, 0.7834, 0.8716]","[0.8670255285133595, 0.8014, 0.7662]","[0.7903593888821141, 0.7956, 0.6289]","[0.863098916491575, 0.8243, 0.7471]","[0.76525827610946, 0.6704, 0.7148]"
69,"[0.8011911426261118, 0.7319, 0.7153]","[0.8615314285714285, 0.8799, 0.704]","[0.8710019449997299, 0.8553, 0.8475]","[0.878553237262129, 0.8636, 0.7138]","[0.7878464530768814, 0.6385, 0.787]","[0.7103656459108441, 0.6075, 0.6869]","[0.7623467428233788, 0.7282, 0.6512]","[0.9002616292651021, 0.7834, 0.8716]","[0.8670595438542783, 0.7943, 0.7674]","[0.7903593888821141, 0.7956, 0.6289]","[0.8634902978618217, 0.8208, 0.7529]","[0.7653479553141335, 0.6704, 0.7091]"
70,"[0.8011859592378346, 0.7319, 0.7153]","[0.8636914285714287, 0.8799, 0.704]","[0.8710019449997299, 0.8553, 0.8475]","[0.8785532372621289, 0.7662, 0.7844]","[0.7879680155599977, 0.6385, 0.787]","[0.7132854981806289, 0.6344, 0.6553]","[0.762740656851642, 0.7499, 0.624]","[0.9004251475557908, 0.7898, 0.8692]","[0.8676633161555861, 0.7872, 0.771]","[0.7902113129975786, 0.7956, 0.6325]","[0.8635829934495118, 0.8208, 0.7514]","[0.7639258993543098, 0.6818, 0.7012]"
71,"[0.8010978416371213, 0.7319, 0.7139]","[0.8636914285714287, 0.8799, 0.704]","[0.8710019449997299, 0.8553, 0.8475]","[0.8789882468323394, 0.8636, 0.7138]","[0.7891566265060241, 0.6385, 0.7859]","[0.7192887417038035, 0.672, 0.6362]","[0.7600078782805652, 0.7065, 0.7067]","[0.9004251475557908, 0.7898, 0.8692]","[0.8676803238260455, 0.7943, 0.7662]","[0.7902026026514294, 0.7956, 0.6325]","[0.8633152061961851, 0.81, 0.7557]","[0.7613764476785896, 0.6704, 0.7069]"
72,"[0.8010252742012399, 0.7319, 0.7167]","[0.8625485714285714, 0.8799, 0.6971]","[0.8707182992057918, 0.8553, 0.8397]","[0.8789803375674264, 0.7662, 0.7917]","[0.7884137446647577, 0.6385, 0.7892]","[0.7181167123212996, 0.6236, 0.6882]","[0.7578290413117338, 0.7065, 0.6761]","[0.9008534097456902, 0.7707, 0.8777]","[0.8679014235420175, 0.7943, 0.7662]","[0.7902287336898768, 0.7956, 0.6325]","[0.8634182012936185, 0.8602, 0.7126]","[0.7624397868197192, 0.6818, 0.6945]"
73,"[0.8010045406481308, 0.7319, 0.7153]","[0.8625485714285714, 0.8799, 0.6971]","[0.8710019449997299, 0.8553, 0.8475]","[0.8789724283025135, 0.8636, 0.7138]","[0.7885353071478741, 0.6385, 0.7881]","[0.7197180315357674, 0.6774, 0.6324]","[0.7599217095868827, 0.7499, 0.6217]","[0.9008534097456902, 0.7707, 0.8777]","[0.867858904365869, 0.8014, 0.7614]","[0.7902374440360259, 0.7956, 0.6325]","[0.8634748485972069, 0.8494, 0.7241]","[0.7653223326842268, 0.6704, 0.7136]"
74,"[0.8010149074246855, 0.75, 0.711]","[0.8620457142857142, 0.8799, 0.6983]","[0.8710019449997299, 0.8553, 0.8475]","[0.8801667273043644, 0.7727, 0.7905]","[0.7883056891242098, 0.6385, 0.787]","[0.7193602900091308, 0.6505, 0.673]","[0.7632822886405042, 0.7499, 0.6274]","[0.9007443975518975, 0.7707, 0.8777]","[0.867858904365869, 0.8014, 0.7614]","[0.7902897061129209, 0.7956, 0.6336]","[0.8630886169818318, 0.8494, 0.7227]","[0.7636184277954289, 0.6818, 0.6979]"
75,"[0.8010200908129627, 0.75, 0.711]","[0.86184, 0.8799, 0.7017]","[0.8710019449997299, 0.8553, 0.8475]","[0.8801588180394514, 0.7727, 0.7905]","[0.7876978767086281, 0.6385, 0.7847]","[0.7199735611976504, 0.672, 0.635]","[0.7624575311438279, 0.7499, 0.6229]","[0.9008845560867736, 0.7707, 0.8777]","[0.8679014235420175, 0.8014, 0.7614]","[0.7904464923436059, 0.7956, 0.6336]","[0.8632276603633667, 0.8566, 0.7227]","[0.7660013323767552, 0.6704, 0.7181]"
76,"[0.800947523377081, 0.7319, 0.7139]","[0.8611885714285715, 0.8499, 0.7406]","[0.8712113026095414, 0.8553, 0.8307]","[0.8789645190376006, 0.7662, 0.8075]","[0.7887514182289697, 0.6385, 0.7859]","[0.720007631819235, 0.672, 0.6388]","[0.7635161750947855, 0.7391, 0.6535]","[0.9008923426720447, 0.7707, 0.8777]","[0.8679014235420175, 0.8014, 0.7614]","[0.7908820096510636, 0.7956, 0.6372]","[0.8632534091377251, 0.81, 0.7615]","[0.7643614840627241, 0.6818, 0.708]"
77,"[0.8009527067653582, 0.7319, 0.7139]","[0.8609714285714285, 0.8599, 0.7371]","[0.8710019449997299, 0.8553, 0.8475]","[0.8804198237815777, 0.7727, 0.7917]","[0.7887649251715382, 0.6385, 0.7892]","[0.7198781634572141, 0.672, 0.6362]","[0.7638608498695161, 0.7499, 0.6365]","[0.9008767695015029, 0.8089, 0.8472]","[0.8679014235420175, 0.8014, 0.7614]","[0.7909255613818094, 0.7956, 0.6372]","[0.8636293412433569, 0.8423, 0.7328]","[0.7619529568514912, 0.6818, 0.7001]"
78,"[0.8005380357031785, 0.7246, 0.7282]","[0.8609714285714285, 0.8599, 0.7371]","[0.8710019449997299, 0.8553, 0.8475]","[0.8802062736289289, 0.7727, 0.7905]","[0.7886433626884218, 0.6385, 0.7926]","[0.7199940035706012, 0.6774, 0.6312]","[0.7577305628046678, 0.7065, 0.6976]","[0.9012894585208603, 0.8025, 0.8496]","[0.8679014235420175, 0.8014, 0.7614]","[0.7882340644217202, 0.7956, 0.6396]","[0.862759032670045, 0.8459, 0.7328]","[0.7648867479758124, 0.6818, 0.708]"
79,"[0.800527668926624, 0.7246, 0.7282]","[0.8609485714285714, 0.8499, 0.7383]","[0.8710019449997299, 0.8553, 0.8475]","[0.879518167581505, 0.7727, 0.799]","[0.7880625641579772, 0.6385, 0.7937]","[0.719067282663505, 0.5054, 0.801]","[0.7637869909892165, 0.7499, 0.6353]","[0.9012894585208603, 0.8025, 0.8496]","[0.8679014235420175, 0.8014, 0.7614]","[0.7888612093444594, 0.7956, 0.648]","[0.8630319696782434, 0.8781, 0.7011]","[0.7651173516449727, 0.6818, 0.708]"
80,"[0.8005328523149012, 0.7246, 0.7282]","[0.8598857142857144, 0.8499, 0.7326]","[0.8710019449997299, 0.8553, 0.8475]","[0.8796526250850246, 0.7727, 0.8002]","[0.7884812793776, 0.6385, 0.7937]","[0.7210161222181337, 0.4785, 0.8149]","[0.764082426510414, 0.7608, 0.6251]","[0.900791117063523, 0.8089, 0.8337]","[0.8679014235420175, 0.8014, 0.7614]","[0.7888873403829068, 0.7956, 0.648]","[0.8628259794833766, 0.8459, 0.7313]","[0.7623372963000923, 0.6704, 0.7114]"
81,"[0.8006883539632188, 0.721, 0.731]","[0.8569028571428572, 0.8299, 0.7337]","[0.8710019449997299, 0.8553, 0.8475]","[0.8785216002024772, 0.7662, 0.7954]","[0.789913015289859, 0.6385, 0.7982]","[0.7209616092235986, 0.6666, 0.6629]","[0.7616820129006845, 0.7499, 0.6059]","[0.9007755438929812, 0.8089, 0.8337]","[0.8679014235420175, 0.8014, 0.7614]","[0.7888699196906085, 0.7956, 0.648]","[0.8629135253161949, 0.8459, 0.7313]","[0.7642205595982372, 0.6818, 0.7091]"
82,"[0.8009578901536355, 0.721, 0.7325]","[0.8568342857142857, 0.8299, 0.7349]","[0.8710019449997299, 0.8553, 0.8475]","[0.8795339861113309, 0.7727, 0.8002]","[0.7899265222324275, 0.6385, 0.7982]","[0.7191149815337231, 0.6344, 0.673]","[0.7628145157319415, 0.7499, 0.6093]","[0.9007755438929813, 0.8089, 0.8337]","[0.8679014235420175, 0.8014, 0.7614]","[0.7888786300367577, 0.7956, 0.648]","[0.8630731677172166, 0.8781, 0.7055]","[0.7624782207645794, 0.6818, 0.708]"
83,"[0.8005535858680102, 0.7319, 0.7153]","[0.8572342857142857, 0.8199, 0.7371]","[0.8710019449997299, 0.8553, 0.8475]","[0.8796288972902858, 0.8571, 0.7198]","[0.7896833972661949, 0.6265, 0.7982]","[0.7207503713697752, 0.6613, 0.6717]","[0.7642916933379291, 0.7499, 0.6229]","[0.9007833304782522, 0.8089, 0.8337]","[0.8679014235420175, 0.8014, 0.7614]","[0.7888699196906086, 0.7956, 0.648]","[0.8629753223746549, 0.8781, 0.704]","[0.7621835605206518, 0.6704, 0.7125]"
84,"[0.8005535858680102, 0.7319, 0.7153]","[0.8573828571428571, 0.8199, 0.7383]","[0.8710019449997299, 0.8553, 0.8475]","[0.8797317177341538, 0.7727, 0.8002]","[0.7904803068777352, 0.6265, 0.7993]","[0.7193943606307154, 0.5161, 0.7959]","[0.7608818750307744, 0.7499, 0.6217]","[0.900791117063523, 0.8089, 0.8337]","[0.8679014235420175, 0.8014, 0.7614]","[0.7888873403829068, 0.7956, 0.648]","[0.8636396407531002, 0.8817, 0.6911]","[0.7628497488982269, 0.6818, 0.7091]"
85,"[0.80040326760797, 0.7246, 0.7153]","[0.8573371428571428, 0.8299, 0.7303]","[0.8710019449997299, 0.8553, 0.8475]","[0.8798345381780217, 0.8181, 0.743]","[0.7904803068777352, 0.6265, 0.7993]","[0.7196260408574894, 0.5161, 0.7997]","[0.7631961199468216, 0.7499, 0.6229]","[0.9007989036487939, 0.8089, 0.8362]","[0.8677908736840314, 0.8014, 0.765]","[0.7888786300367576, 0.7956, 0.648]","[0.8638353314382237, 0.853, 0.7256]","[0.7615686174028902, 0.6818, 0.7057]"
86,"[0.8004188177728018, 0.7246, 0.7153]","[0.8579314285714285, 0.8499, 0.7189]","[0.8710019449997299, 0.8553, 0.8475]","[0.8795498046411566, 0.8701, 0.7125]","[0.7905073207628721, 0.6265, 0.7993]","[0.7206890442509233, 0.672, 0.6464]","[0.7633930769609533, 0.7499, 0.6263]","[0.9008066902340648, 0.8089, 0.8362]","[0.8677993775192612, 0.8014, 0.765]","[0.7888612093444594, 0.7956, 0.648]","[0.863845630947967, 0.8494, 0.7284]","[0.7627600696935534, 0.6818, 0.7103]"
87,"[0.8002373991830981, 0.7427, 0.7067]","[0.8574171428571428, 0.8499, 0.7189]","[0.8710019449997299, 0.8553, 0.8475]","[0.8796763528797634, 0.8701, 0.715]","[0.790223674968934, 0.6385, 0.7892]","[0.719769137468144, 0.6666, 0.6502]","[0.7629745433059235, 0.7499, 0.6195]","[0.9011492999859841, 0.8089, 0.8374]","[0.8676378046498971, 0.7943, 0.7662]","[0.7888699196906085, 0.7956, 0.648]","[0.863438800313105, 0.853, 0.7241]","[0.7633237675515013, 0.6818, 0.7069]"
88,"[0.8002322157948208, 0.7427, 0.7067]","[0.8578057142857143, 0.8599, 0.696]","[0.8710019449997299, 0.8553, 0.8475]","[0.8796763528797633, 0.8441, 0.7284]","[0.7914392998000973, 0.6747, 0.7825]","[0.7193807323820817, 0.5108, 0.7985]","[0.7622605741296963, 0.7499, 0.6172]","[0.9013283914472147, 0.8216, 0.8313]","[0.8677653621783423, 0.7943, 0.7662]","[0.7888524989983101, 0.7956, 0.648]","[0.8633821530095167, 0.8566, 0.7256]","[0.7651814082197397, 0.6704, 0.7136]"
89,"[0.8002425825713754, 0.7427, 0.7067]","[0.8574742857142856, 0.8599, 0.6949]","[0.8710019449997299, 0.8553, 0.8475]","[0.879518167581505, 0.7727, 0.7978]","[0.79168242476633, 0.6747, 0.7847]","[0.7216839064011885, 0.6344, 0.6895]","[0.7615219853267023, 0.7608, 0.6183]","[0.9013128182766729, 0.8216, 0.8313]","[0.8677568583431128, 0.7943, 0.7662]","[0.7895231956517952, 0.8175, 0.6146]","[0.8635778436946401, 0.853, 0.7241]","[0.7653735779440403, 0.6704, 0.7125]"
90,"[0.8003877174431382, 0.7282, 0.731]","[0.8574857142857142, 0.8599, 0.6949]","[0.8710019449997299, 0.8553, 0.8475]","[0.8797949918534571, 0.8701, 0.7162]","[0.7918985358474256, 0.6747, 0.787]","[0.7221336386061027, 0.6344, 0.6895]","[0.7643286227780786, 0.7608, 0.6149]","[0.9013128182766729, 0.8216, 0.8313]","[0.8677568583431128, 0.7943, 0.7662]","[0.7895406163440936, 0.8175, 0.6146]","[0.8633770032546452, 0.853, 0.727]","[0.7618376550169108, 0.6704, 0.708]"
91,"[0.8003929008314155, 0.7282, 0.731]","[0.8574628571428571, 0.7599, 0.784]","[0.8710019449997299, 0.8553, 0.8475]","[0.8798503567078475, 0.8636, 0.7162]","[0.7924523204927333, 0.6747, 0.7881]","[0.7215748804121183, 0.5323, 0.7947]","[0.7612142399921216, 0.7608, 0.6217]","[0.9013206048619439, 0.8216, 0.8313]","[0.8677568583431128, 0.7943, 0.7662]","[0.7896974025747784, 0.8102, 0.6313]","[0.8634130515387468, 0.8494, 0.727]","[0.7650020498103927, 0.6818, 0.7091]"
92,"[0.8005743194211191, 0.7282, 0.7296]","[0.8574514285714286, 0.7599, 0.784]","[0.8707182992057918, 0.8553, 0.8397]","[0.8796763528797632, 0.8701, 0.7174]","[0.7935598897833486, 0.6747, 0.7881]","[0.7216225792823364, 0.5806, 0.7643]","[0.7637869909892167, 0.7608, 0.6251]","[0.9013206048619439, 0.8216, 0.8313]","[0.8673826895930065, 0.7943, 0.7674]","[0.7896974025747783, 0.8102, 0.6325]","[0.8631092160013183, 0.81, 0.7744]","[0.7626063339141129, 0.6818, 0.708]"
93,"[0.8008334888349816, 0.7282, 0.7282]","[0.85752, 0.7599, 0.7726]","[0.8710019449997299, 0.8553, 0.8475]","[0.8798899030324121, 0.8701, 0.715]","[0.792249716354206, 0.6747, 0.7892]","[0.7220177984927157, 0.6344, 0.6895]","[0.7611034516716727, 0.7499, 0.6229]","[0.9013283914472147, 0.8216, 0.8313]","[0.8673826895930065, 0.7943, 0.7674]","[0.7907339337665279, 0.7956, 0.6694]","[0.8628774770320933, 0.8459, 0.7299]","[0.761632673977657, 0.6704, 0.708]"
94,"[0.8007712881756546, 0.7319, 0.7267]","[0.8570971428571429, 0.7599, 0.7703]","[0.8710019449997299, 0.8553, 0.8475]","[0.8781815018112218, 0.7662, 0.8027]","[0.7906288832459885, 0.6506, 0.7859]","[0.7216089510337026, 0.5753, 0.7592]","[0.7645748190457433, 0.7499, 0.6217]","[0.9013128182766729, 0.8216, 0.8313]","[0.8673741857577768, 0.7943, 0.7674]","[0.790733933766528, 0.7956, 0.6694]","[0.863006220903885, 0.81, 0.7687]","[0.7648355027159988, 0.6818, 0.7091]"
95,"[0.8007712881756548, 0.7319, 0.7267]","[0.857062857142857, 0.7599, 0.7703]","[0.8710019449997299, 0.8553, 0.8475]","[0.8793995286078112, 0.8181, 0.743]","[0.7909395429250635, 0.6747, 0.7747]","[0.7203960369052972, 0.6559, 0.673]","[0.7637254419223004, 0.7499, 0.6229]","[0.9013283914472147, 0.8216, 0.8313]","[0.8673826895930065, 0.7943, 0.7674]","[0.7907339337665279, 0.7956, 0.6694]","[0.8626251390433816, 0.8459, 0.7328]","[0.7628241262683202, 0.6818, 0.7069]"
96,"[0.8004706516555742, 0.8116, 0.6195]","[0.8570628571428571, 0.7599, 0.7703]","[0.8710019449997299, 0.8553, 0.8475]","[0.8790198838919911, 0.8701, 0.715]","[0.7915743692257821, 0.6626, 0.7769]","[0.7202188696730583, 0.6666, 0.6489]","[0.7585922497414939, 0.7608, 0.5957]","[0.9013206048619439, 0.8216, 0.8313]","[0.8673741857577768, 0.7943, 0.7674]","[0.7907339337665279, 0.7956, 0.6694]","[0.8626663370823549, 0.8315, 0.7428]","[0.7620938813159782, 0.6818, 0.7091]"
97,"[0.8004965685969605, 0.7935, 0.6409]","[0.8570514285714285, 0.7599, 0.7703]","[0.8710019449997299, 0.8553, 0.8475]","[0.8795418953762437, 0.8636, 0.7162]","[0.7921146469285213, 0.6626, 0.7803]","[0.7215748804121184, 0.6344, 0.692]","[0.7592200502240385, 0.7608, 0.6059]","[0.9013283914472147, 0.8216, 0.8313]","[0.8673741857577767, 0.7943, 0.7674]","[0.7907339337665279, 0.7956, 0.6694]","[0.8626869361018416, 0.8315, 0.7428]","[0.7634134467561751, 0.6818, 0.6945]"
98,"[0.8004913852086832, 0.8079, 0.6295]","[0.8570514285714285, 0.7599, 0.7703]","[0.8707182992057918, 0.8553, 0.8397]","[0.878355505639306, 0.7662, 0.8002]","[0.7920471122156787, 0.6626, 0.7803]","[0.7217520476443573, 0.5806, 0.7617]","[0.7596016544389187, 0.7608, 0.607]","[0.9013050316914021, 0.8216, 0.8301]","[0.8673316665816283, 0.7943, 0.7674]","[0.7904987544205007, 0.6569, 0.7685]","[0.8629753223746549, 0.8315, 0.7385]","[0.7650404837552526, 0.6818, 0.7103]"
99,"[0.8004291845493563, 0.8079, 0.6252]","[0.8570514285714285, 0.7599, 0.7703]","[0.8710019449997299, 0.8553, 0.8475]","[0.8796288972902858, 0.8701, 0.7162]","[0.7919120427899942, 0.6867, 0.7691]","[0.7217724900173079, 0.6344, 0.6882]","[0.7633438377074204, 0.7499, 0.6217]","[0.901312818276673, 0.8216, 0.8301]","[0.8676803238260454, 0.8156, 0.7578]","[0.7904900440743514, 0.6569, 0.7685]","[0.8629135253161949, 0.8315, 0.7385]","[0.7648355027159988, 0.6704, 0.7091]"
100,"[0.8005432190914556, 0.8043, 0.6352]","[0.8570742857142857, 0.7599, 0.7703]","[0.8710019449997299, 0.8553, 0.8475]","[0.8796921714095892, 0.8636, 0.7186]","[0.7922362094116375, 0.5301, 0.8419]","[0.7218133747632093, 0.5806, 0.7655]","[0.7622851937564628, 0.7499, 0.6217]","[0.901009141451108, 0.8216, 0.8301]","[0.8676888276612752, 0.8156, 0.7578]","[0.7904987544205007, 0.6569, 0.7685]","[0.8622234581633914, 0.8387, 0.7313]","[0.7635031259608487, 0.6818, 0.7024]"
